Sl No,Sub-Station,ID,MVA,Voltage Ratio,Owner ,Normal Tap Position,Present Tap Position,,,
48,Birsingpur,1,500,400/220,MPPGCL,9,11,,,0
49,Boisar,3,500,400/220,PGCIL,9,9,,,0
50,Boisar,1,315,400/220,PGCIL,9b,9,,,1
51,Boisar,2,315,400/220,PGCIL,9b,9,,,1
52,Chakan,1,315,400/220,MSETCL,9b,11,,,0
53,Chakan,2,315,400/220,MSETCL,9b,11,,,1
54,Chandrapur,1,315,400/220,MSETCL,9b,9,MP,,0
55,Chandrapur,2,315,400/220,MSETCL,9b,9,MP,,1
56,Charnaka,1,315,400/220,GETCO,9b,9,,,
57,Charnaka,2,315,400/220,GETCO,9b,9,,,
58,Charnaka,3,315,400/220,GETCO,9b,9,,,
59,Chhegaon,1,315,400/220,MPPTCL,9b,9b,,,0
60,Chorania,1,500,400/220,GETCO,9,9,,,0
61,Chorania,2,500,400/220,GETCO,9,9,,,1
62,Chorania,3,500,400/220,GETCO,9,9,,,
63,Damoh,1,315,400/220,PGCIL,9b,11,,,
64,Damoh,2,315,400/220,PGCIL,9b,11,,,0
65,Damoh,3,500,400/220,PGCIL,9b,11,,,1
66,Deepnagar,1,500,400/220,MSETCL,9,10,,,0
67,Deepnagar,2,500,400/220,MSETCL,9,10,,,1
68,Dehgam,1,315,400/220,PGCIL,9b,9,,,0
69,Dehgam,2,315,400/220,PGCIL,9b,9,,,1
70,Dhule-MS,3,500,400/220,MSETCL,9,9,,,0
71,Dhule-MS,1,315,400/220,MSETCL,9b,13,MP,,1
72,Dhule-MS,2,315,400/220,MSETCL,9b,13,MP,,1
73,Gandhar,1,500,400/220,NTPC,9b,10,MP,,0
74,Gandhar,2,500,400/220,NTPC,9b,10,,,1
75,GPEC,1,500,400/220,GSECL,9,11,,,0
76,Gwalior,1,315,400/220,PGCIL,9b,9b,,,0
77,Gwalior,2,315,400/220,PGCIL,9b,9b,,,1
78,Gwalior,3,315,400/220,PGCIL,9b,9b,,,1
79,Hadala,1,315,400/220,GETCO,9b,9,,,0
80,Hadala,2,315,400/220,GETCO,9b,9,MP,,1
81,Hadala,3,315,400/220,GETCO,9b,9,MP,,1
82,Hazira,1,500,400/220,ESSAR,9,8,MP,,0
83,Hazira,2,500,400/220,ESSAR,9,8,MP,,1
84,Hazira,3,500,400/220,ESSAR,9,8,MP,,1
85,Indore-MP,1,315,400/220,MPPTCL,9b,13,MP,,0
86,Indore-MP,2,315,400/220,MPPTCL,9b,13,MP,,1
87,Indore-MP,3,315,400/220,MPPTCL,9b,13,,,1
88,Indore-MP,4,315,400/220,MPPTCL,9b,13,,,1
89,Itarsi,1,315,400/220,PGCIL,9b,11,,,0
90,Itarsi,2,500,400/220,PGCIL,9b,9b,,,
91,Jabalpur,1,315,400/220,PGCIL,9b,11,,,0
92,Jabalpur,2,315,400/220,PGCIL,9b,11,,,1
93,Jagdalpur,1,315,400/220,CSPTCL,9b,9b,,,
94,Jejuri,1,500,400/220,MSETCL,9,9,,,0
95,Jejuri,2,500,400/220,MSETCL,9,9,,,1
96,Jetpur,4,500,400/220,GETCO,9,9b,,,0
97,Jetpur,1,315,400/220,GETCO,9b,9b,,,1
98,Jetpur,2,315,400/220,GETCO,9b,9b,,,1
99,Jetpur,3,315,400/220,GETCO,9b,9b,,,1
100,JPL,1,315,400/220,JPL,9b,9,,,0
101,JPL,2,315,400/220,JPL,9b,9,,,1
102,Julwania,1,315,400/220,MPPTCL,9b,9b,,,0
103,Julwania,2,315,400/220,MPPTCL,9b,9b,,,1
104,Kala,1,315,400/220,PGCIL,9b,9b,,,0
105,Kala,2,315,400/220,PGCIL,9b,9b,,,1
106,Kalwa,2,600,400/220,MSETCL,9B,11,,,0
107,Kalwa,1,500,400/220,MSETCL,9B,11,,,1
108,Kalwa,3,500,400/220,MSETCL,9,11,,,1
109,Karad,1,315,400/220,MSETCL,9b,8,MP,,0
110,Karad,2,315,400/220,MSETCL,9b,8,MP,,1
111,Karad,3,315,400/220,MSETCL,9b,8,MP,,1
112,Kasor,1,315,400/220,GETCO,9b,9,,,0
113,Kasor,2,315,400/220,GETCO,9b,9,,,1
114,Kasor,3,315,400/220,GETCO,9b,9,,,
115,Katni,1,315,400/220,MPPTCL,9b,9,,,0
116,Katni,2,315,400/220,MPPTCL,9b,9,,,1
117,Khandwa,1,315,400/220,PGCIL,9b,11,,,0
118,Khandwa,2,315,400/220,PGCIL,9b,11,,,1
119,Khaparkheda,1,500,400/220,MSETCL,9,7,,,0
120,Khaparkheda,2,500,400/220,MSETCL,9,7,,,1
121,Kharghar,2,500,400/220,MSETCL,9,11,,,0
122,Kharghar,1,315,400/220,MSETCL,9b,11,,,1
123,Kharghar,3,315,400/220,MSETCL,9b,11,,,1
124,Kolhapur,1,315,400/220,MSETCL,9b,9,,,0
125,Kolhapur,2,315,400/220,MSETCL,9b,9,,,1
126,Kolhapur,3,315,400/220,MSETCL,9b,9,,,
127,Koradi,1,315,400/220,MSETCL,9b,7,,,
128,Koradi,2,315,400/220,MSETCL,9b,7,,,0
129,Koradi-II,1,500,400/220,MSETCL,9,7,,,0
130,Koradi-II,2,500,400/220,MSETCL,9,7,,,1
131,Korba (W),1,500,400/220,CSPGCL,9B,12,,,0
132,Kosamba,1,315,400/220,GETCO,9b,8,,,0
133,Kosamba,2,315,400/220,GETCO,9b,8,,,1
134,Kosamba,3,315,400/220,GETCO,9b,8,,,
135,Kosamba,4,500,400/220,GETCO,9b,8,,,
136,Lonikhand,1,315,400/220,MSETCL,9b,13,,,0
137,Lonikhand,2,315,400/220,MSETCL,9b,13,,,1
138,Lonikhand,3,315,400/220,MSETCL,9b,13,MP,,1
139,Lonikhand-II,1,500,400/220,MSETCL,9,9,,,0
140,Lonikhand-II,2,500,400/220,MSETCL,9,9,,,1
141,Magarawada,1,315,400/220,PGCIL,9b,9b,,,0
142,Magarawada,2,315,400/220,PGCIL,9b,9b,,,1
143,Malwa,1,315,400/220,MPPTCL,9b,9b,,,0
144,Malwa,2,315,400/220,MPPTCL,9b,9b,,,
145,Mansar,1,315,400/220,GETCO,9b,7,,,0
146,Mansar,2,315,400/220,GETCO,9b,7,,,1
147,Mapusa,1,315,400/220,PGCIL,9b,10,,,0
148,Mapusa,2,315,400/220,PGCIL,9b,10,MP,,1
149,Mapusa,3,315,400/220,PGCIL,9b,10,MP,,1
150,Marwa,1,315,400/220,CSEPTCL,9b,9b,MP,,0
151,Mouda,1,200,400/132,NTPC,9,9,,,0
152,Mouda,2,200,400/132,NTPC,9,9,,,1
153,Nagda,1,315,400/220,MPPTCL,9b,11,,,0
154,Nagda,2,315,400/220,MPPTCL,9b,11,,,1
155,Nagda,3,315,400/220,MPPTCL,9b,11,,,1
156,Nagda,4,315,400/220,MPPTCL,9b,11,,,
157,Nagothane,3,500,400/220,MSETCL,9,8,,,0
158,Nagothane,1,315,400/220,MSETCL,9b,9,,,1
159,Nagothane,2,315,400/220,MSETCL,9b,9,,,1
160,Nanded,1,500,400/220,MSETCL,9b,9b,,,0
161,Nanded,2,500,400/220,MSETCL,9b,9b,,,1
162,Navsari,3,500,400/220,PGCIL,9,9,,,0
163,Navsari,1,315,400/220,PGCIL,9b,9b,,,1
164,Navsari,2,315,400/220,PGCIL,9b,9b,,,1
165,New koyna ,2,500,400/220,MSETCL,9,11,,,0
166,New koyna ,1,315,400/220,MSETCL,9b,11,,,1
167,Nicol-II,1,315,400/132,TPL,9b,9b,,,0
168,Nicol-II,2,315,400/132,TPL,9b,9b,,,1
169,Nicol-II,3,315,400/132,TPL,9b,9b,,,1
170,NSPCL,1,315,400/220,NSPCL,9b,8,,,0
171,NSPCL,2,315,400/220,NSPCL,9b,8,MP,,1
172,Padghe,4,600,400/220,MSETCL,9,8,MP,,0
173,Padghe,1,315,400/220,MSETCL,9b,8,,,1
174,Padghe,2,315,400/220,MSETCL,9b,8,,,1
175,Padghe,3,315,400/220,MSETCL,9b,8,,,1
176,Parli-M,3,500,400/220,MSETCL,9,12,,,0
177,Parli-M,1,315,400/220,MSETCL,9b,12,,,1
178,Parli-M,2,315,400/220,MSETCL,9b,12,,,1
179,Pirana-PG,1,315,400/220,PGCIL,9b,10,,,0
180,Pirana-PG,2,315,400/220,PGCIL,9b,10,,,
181,Pirana-T,1,315,400/132,TPL,9,9,,,
182,Pirana-T,2,315,400/132,TPL,9,9,,,0
183,Pirana-T,3,315,400/132,TPL,9,9,,,1
184,Pirana-T,4,315,400/132,TPL,9,9,,,1
185,Pithampur,1,315,400/220,MPPTCL,9b,9b,MP,,0
186,Pithampur,2,315,400/220,MPPTCL,9b,9b,MP,,1
187,Pune-PG,1,315,400/220,PGCIL,9b,9,,,0
188,Pune-PG,2,315,400/220,PGCIL,9b,9,,,1
189,Pune-PG,3,315,400/220,PGCIL,9b,9,,,1
190,Raigarh,1,315,400/220,PGCIL,9b,13,,,0
191,Raigarh,2,315,400/220,PGCIL,9b,13,MP,,1
192,Raipur,1,315,400/220,PGCIL,9b,13,MP,,0
193,Raipur,2,315,400/220,PGCIL,9b,13,MP,,1
194,Raipur,3,315,400/220,PGCIL,9b,13,MP,,1
195,Raita,1,315,400/220,CSPTCL,9b,9,,,0
196,Raita,2,315,400/220,CSPTCL,9b,9,,,1
197,Rajgarh,1,315,400/220,PGCIL,9b,11,,,0
198,Rajgarh,2,315,400/220,PGCIL,9b,11,,,1
199,Ranchodpura,1,315,400/220,GETCO,9b,9b,,,0
200,Ranchodpura,2,315,400/220,GETCO,9b,9b,,,1
201,Ranchodpura,3,315,400/220,GETCO,9b,9b,MP,,1
202,Ranchodpura,4,315,400/220,GETCO,9b,9b,,,
203,Satna,1,315,400/220,PGCIL,9b,9b,,,0
204,Satna,2,315,400/220,PGCIL,9b,9b,,,1
205,Satna,3,315,400/220,PGCIL,9b,9b,,,1
206,Satpura,1,500,400/220,MPPGCL,9,10,,,0
207,Seoni,1,315,400/220,PGCIL,9b,9,,,0
208,Seoni,2,315,400/220,PGCIL,9b,9,,,1
209,Sholapur-MS,1,500,400/220,MSETCL,9,11,,,0
210,Sholapur-MS,2,500,400/220,MSETCL,9,11,,,1
211,Shujalpur,1,315,400/220,PGCIL,9b,9b,,,0
212,Shujalpur,2,315,400/220,PGCIL,9b,9b,,,
213,Soja,1,500,400/220,GETCO,9,11,,,0
214,Soja,2,500,400/220,GETCO,9,11,,,1
215,Soja,3,500,400/220,GETCO,9,11,,,1
216,Solapur-NTPC,1,200,400/132,NTPC,9b,9,,,
217,Solapur-NTPC,2,200,400/132,NTPC,9b,9,,,0
218,Solapur-PG,3,500,400/220,PGCIL,9,9,,,0
219,Solapur-PG,1,315,400/220,PGCIL,9b,9,,,1
220,Solapur-PG,2,315,400/220,PGCIL,9b,9,,,1
221,SSP,1,315,400/220,SSNL,9b,9b,,,0
222,SSP,2,315,400/220,SSNL,9b,9b,,,
223,Sugen,1,315,400/220,TPL,9b,1,,,0
224,Sugen,2,315,400/220,TPL,9b,1,,,
225,Sugen,3,315,400/220,TPL,9b,1,,,
226,Taptithanda,1,500,400/220,MSETCL,9,9,,,0
227,Ukai,1,315,400/220,GETCO,9b,9,,,0
228,Vadodara-PS,1,500,400/220,PGCIL,9b,9b,,,0
229,Vadodara-PS,2,500,400/220,PGCIL,9b,9b,,,1
230,Vapi,1,315,400/220,PGCIL,9b,12,,,0
231,Vapi,2,315,400/220,PGCIL,9b,12,,,
232,Vapi,3,315,400/220,PGCIL,9b,12,,,1
233,Varsana,1,315,400/220,GETCO,9b,5,,,
234,Varsana,2,315,400/220,GETCO,9b,5,,,
235,Varsana,3,315,400/220,GETCO,9b,5,,,0
236,Varsana,4,315,400/220,GETCO,9b,5,,,#REF!
237,Veloda,1,500,400/220,GETCO,9b,9b,,,0
238,Wanakbori,1,315,400/220,GSECL,9b,9,,,0
239,Wardha,1,315,400/220,PGCIL,9b,9b,,,0
240,Wardha,2,315,400/220,PGCIL,9b,9b,,,
241,Warora,1,500,400/220,MEGPTCL,9,9,,,
242,Warora,2,500,400/220,MEGPTCL,9,9,,,
243,Zerda(Kansari),1,315,400/220,PGCIL,9b,11,,,
244,Zerda(Kansari),2,315,400/220,PGCIL,9b,11,,,
245,Zerda(Kansari),3,315,400/220,PGCIL,9b,11,,,
,,Total,87050,,,,,,,
