S.No,Substation,Owner,Nos of Reactor,Total MVAR,Rated Voltage,,50 MVAR,63 MVAR,80 MVAR,125 MVAR,,,
74,RKM,RKM,2x50,100,420,,2,,,,100,,0
75,Sami,APL,1X50,50,420,,1,,,,50,,0
76,Satna,PGCIL,1X50  +  1X63,113,420,,1,1,,,113,,0
77,Satpura,MPPTCL,2X63,126,420,,,2,,,126,,0
78,Seoni,PGCIL,1x125+1x125,250,420,,,,,2,250,,0
79,Shujalpur,PGCIL,1X63  +  1X125,188,420,,,1,,1,188,,0
80,SKS,SPGCL,1x50,50,420,,1,,,,50,,0
81,Soja,GETCO,1X50  +  1X80,130,420,,1,,1,,130,,0
82,Solapur-NTPC,NTPC,1X80,80,420,,,,1,,80,,0
83,Solapur-PG,PGCIL,1X63,63,420,,,1,,,63,,0
84,Tiroda,APML,2X80,160,420,,,,2,,160,,0
85,Uno-Sugen,TPL,1X80,80,420,,,,1,,80,,0
86,Varsana,GETCO,1X50  +  1X125,175,420,,1,,,1,175,,0
87,Veloda,GETCO,1x125,125,420,,,,,1,125,,0
88,Vindhyachal,NTPC,1X63  +  1X50,113,420,,1,1,,,113,,0
89,Vindhyachal-IV,NTPC,1X80,80,420,,,,1,,80,,0
90,Vindhyachal-PS,PGCIL,1X63,63,420,,,1,,,63,,0
91,Vindhyachal-V,NTPC,1x125,125,420,,,,,1,125,,0
92,Wardha,PGCIL,1X50,50,420,,1,,,,50,,0
93,Warora,ATIL,1x125,125,420,,,,,1,125,,0
94,Zerda(Kansari),GETCO,1X50  +  1X125,175,420,only 50,1,,,1,175,,0
,* Future,Total,50x34+18x63+28x80+48x125,11254,,,36,18,29,48,11254,,
,,,,,,,1800,1134,2320,6000,11254,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0,,
